Name,Spottimettä
Start Date,4/20/20
End Date,8/11/20

Date,App Units
4/20/20,0.0
4/21/20,77.0
4/22/20,22.0
4/23/20,12.0
4/24/20,15.0
4/25/20,9.0
4/26/20,16.0
4/27/20,22.0
4/28/20,6.0
4/29/20,6.0
4/30/20,4.0
5/1/20,15.0
5/2/20,5.0
5/3/20,15.0
5/4/20,6.0
5/5/20,3.0
5/6/20,11.0
5/7/20,6.0
5/8/20,10.0
5/9/20,18.0
5/10/20,15.0
5/11/20,9.0
5/12/20,6.0
5/13/20,11.0
5/14/20,14.0
5/15/20,9.0
5/16/20,11.0
5/17/20,8.0
5/18/20,5.0
5/19/20,5.0
5/20/20,3.0
5/21/20,10.0
5/22/20,2.0
5/23/20,7.0
5/24/20,13.0
5/25/20,5.0
5/26/20,5.0
5/27/20,6.0
5/28/20,5.0
5/29/20,12.0
5/30/20,7.0
5/31/20,8.0
6/1/20,9.0
6/2/20,9.0
6/3/20,4.0
6/4/20,1.0
6/5/20,6.0
6/6/20,8.0
6/7/20,3.0
6/8/20,2.0
6/9/20,5.0
6/10/20,6.0
6/11/20,7.0
6/12/20,7.0
6/13/20,9.0
6/14/20,10.0
6/15/20,5.0
6/16/20,3.0
6/17/20,5.0
6/18/20,1.0
6/19/20,8.0
6/20/20,2.0
6/21/20,5.0
6/22/20,15.0
6/23/20,12.0
6/24/20,8.0
6/25/20,6.0
6/26/20,2.0
6/27/20,2.0
6/28/20,11.0
6/29/20,3.0
6/30/20,3.0
7/1/20,6.0
7/2/20,6.0
7/3/20,5.0
7/4/20,9.0
7/5/20,7.0
7/6/20,6.0
7/7/20,6.0
7/8/20,4.0
7/9/20,5.0
7/10/20,7.0
7/11/20,4.0
7/12/20,7.0
7/13/20,16.0
7/14/20,6.0
7/15/20,7.0
7/16/20,8.0
7/17/20,6.0
7/18/20,8.0
7/19/20,2.0
7/20/20,4.0
7/21/20,5.0
7/22/20,5.0
7/23/20,6.0
7/24/20,3.0
7/25/20,6.0
7/26/20,3.0
7/27/20,9.0
7/28/20,5.0
7/29/20,5.0
7/30/20,6.0
7/31/20,3.0
8/1/20,3.0
8/2/20,3.0
8/3/20,4.0
8/4/20,3.0
8/5/20,7.0
8/6/20,6.0
8/7/20,7.0
8/8/20,6.0
8/9/20,6.0
8/10/20,5.0
8/11/20,5.0
