Päivämäärä,"Asennukset (Kaikki laitteet, Yksilöidyt laitteet, Aikaväliä kohti, Päivittäin): Kaikki Android-versiot",Muistiinpanot
9. heinäk. 2019,0,Julkaisun käyttöönotto: 1.1 otettiin käyttöön käyttöasteella 100%.
10. heinäk. 2019,3,Julkaisun käyttöönotto: 1.3 otettiin käyttöön käyttöasteella 100%.
11. heinäk. 2019,3,
12. heinäk. 2019,28,Julkaisun käyttöönotto: 1.4 otettiin käyttöön käyttöasteella 100%.
13. heinäk. 2019,35,
14. heinäk. 2019,33,Julkaisun käyttöönotto: 1.5 otettiin käyttöön käyttöasteella 100%.
15. heinäk. 2019,42,Julkaisun käyttöönotto: 1.6 otettiin käyttöön käyttöasteella 100%.
16. heinäk. 2019,45,
17. heinäk. 2019,52,Julkaisun käyttöönotto: 1.7 otettiin käyttöön käyttöasteella 100%.
18. heinäk. 2019,57,Julkaisun käyttöönotto: 1.8 otettiin käyttöön käyttöasteella 100%.
19. heinäk. 2019,82,
20. heinäk. 2019,89,Julkaisun käyttöönotto: 1.9 otettiin käyttöön käyttöasteella 100%.
21. heinäk. 2019,97,Julkaisun käyttöönotto: 2.0 otettiin käyttöön käyttöasteella 100%.
22. heinäk. 2019,113,Julkaisun käyttöönotto: 2.1 otettiin käyttöön käyttöasteella 100%.
23. heinäk. 2019,118,
24. heinäk. 2019,124,
25. heinäk. 2019,133,Julkaisun käyttöönotto: 2.2 otettiin käyttöön käyttöasteella 100%.
26. heinäk. 2019,128,
27. heinäk. 2019,127,Julkaisun käyttöönotto: 2.3 otettiin käyttöön käyttöasteella 100%.
28. heinäk. 2019,139,Julkaisun käyttöönotto: 2.4 otettiin käyttöön käyttöasteella 100%.
29. heinäk. 2019,139,Muuttujaa koskeva muutos: Käyttäjään ja laitteeseen perustuvat hankinnan ja menetyksen mittarit päivitettiin tarkemmiksi.
30. heinäk. 2019,150,
31. heinäk. 2019,157,
1. elok. 2019,168,Julkaisun käyttöönotto: 2.5 otettiin käyttöön käyttöasteella 100%. Julkaisun käyttöönotto: 2.6 otettiin käyttöön käyttöasteella 100%.
2. elok. 2019,170,
3. elok. 2019,176,
4. elok. 2019,185,Julkaisun käyttöönotto: 2.7 otettiin käyttöön käyttöasteella 100%.
5. elok. 2019,199,
6. elok. 2019,234,
7. elok. 2019,247,
8. elok. 2019,247,
9. elok. 2019,256,Julkaisun käyttöönotto: 2.8 otettiin käyttöön käyttöasteella 100%.
10. elok. 2019,264,
11. elok. 2019,282,Julkaisun käyttöönotto: 2.9 otettiin käyttöön käyttöasteella 100%.
12. elok. 2019,285,
13. elok. 2019,294,Julkaisun käyttöönotto: 3.0 otettiin käyttöön käyttöasteella 100%.
14. elok. 2019,306,Julkaisun käyttöönotto: 3.1 otettiin käyttöön käyttöasteella 100%.
15. elok. 2019,310,
16. elok. 2019,316,
17. elok. 2019,320,
18. elok. 2019,336,
19. elok. 2019,341,
20. elok. 2019,337,
21. elok. 2019,337,
22. elok. 2019,351,
23. elok. 2019,346,
24. elok. 2019,353,Julkaisun käyttöönotto: 3.2 otettiin käyttöön käyttöasteella 100%. Julkaisun käyttöönotto: 3.3 otettiin käyttöön käyttöasteella 100%.
25. elok. 2019,363,Julkaisun käyttöönotto: 3.4 otettiin käyttöön käyttöasteella 100%.
26. elok. 2019,373,
27. elok. 2019,376,
28. elok. 2019,380,
29. elok. 2019,380,
30. elok. 2019,392,
31. elok. 2019,416,
1. syysk. 2019,429,
2. syysk. 2019,445,
3. syysk. 2019,447,
4. syysk. 2019,446,
5. syysk. 2019,442,
6. syysk. 2019,450,
7. syysk. 2019,454,
8. syysk. 2019,460,
9. syysk. 2019,459,
10. syysk. 2019,458,
11. syysk. 2019,470,
12. syysk. 2019,469,
13. syysk. 2019,474,
14. syysk. 2019,483,
15. syysk. 2019,466,
16. syysk. 2019,476,
17. syysk. 2019,482,
18. syysk. 2019,486,
19. syysk. 2019,481,
20. syysk. 2019,485,
21. syysk. 2019,486,
22. syysk. 2019,501,
23. syysk. 2019,494,
24. syysk. 2019,505,Julkaisun käyttöönotto: 3.5 otettiin käyttöön käyttöasteella 100%.
25. syysk. 2019,500,Julkaisun käyttöönotto: 3.6 otettiin käyttöön käyttöasteella 100%.
26. syysk. 2019,503,
27. syysk. 2019,508,
28. syysk. 2019,508,
29. syysk. 2019,517,
30. syysk. 2019,521,Julkaisun käyttöönotto: 3.7 otettiin käyttöön käyttöasteella 100%.
1. lokak. 2019,523,Julkaisun käyttöönotto: 3.8 otettiin käyttöön käyttöasteella 100%.
2. lokak. 2019,518,
3. lokak. 2019,511,
4. lokak. 2019,505,
5. lokak. 2019,515,
6. lokak. 2019,509,
7. lokak. 2019,521,
8. lokak. 2019,507,
9. lokak. 2019,523,
10. lokak. 2019,507,
11. lokak. 2019,503,
12. lokak. 2019,518,
13. lokak. 2019,507,
14. lokak. 2019,496,
15. lokak. 2019,502,
16. lokak. 2019,513,
17. lokak. 2019,517,
18. lokak. 2019,515,
19. lokak. 2019,515,
20. lokak. 2019,517,
21. lokak. 2019,503,
22. lokak. 2019,510,
23. lokak. 2019,508,
24. lokak. 2019,515,
25. lokak. 2019,520,
26. lokak. 2019,512,
27. lokak. 2019,518,
28. lokak. 2019,511,
29. lokak. 2019,507,
30. lokak. 2019,516,
31. lokak. 2019,510,
1. marrask. 2019,509,
2. marrask. 2019,501,
3. marrask. 2019,505,
4. marrask. 2019,516,
5. marrask. 2019,514,
6. marrask. 2019,503,
7. marrask. 2019,501,
8. marrask. 2019,511,
9. marrask. 2019,493,
10. marrask. 2019,502,Julkaisun käyttöönotto: 3.9 otettiin käyttöön käyttöasteella 100%.
11. marrask. 2019,500,
12. marrask. 2019,501,
13. marrask. 2019,500,
14. marrask. 2019,508,
15. marrask. 2019,493,
16. marrask. 2019,489,Julkaisun käyttöönotto: 4.1 otettiin käyttöön käyttöasteella 100%.
17. marrask. 2019,489,
18. marrask. 2019,487,Julkaisun käyttöönotto: 4.2 otettiin käyttöön käyttöasteella 100%.
19. marrask. 2019,482,
20. marrask. 2019,494,
21. marrask. 2019,478,
22. marrask. 2019,483,
23. marrask. 2019,495,
24. marrask. 2019,483,
25. marrask. 2019,486,
26. marrask. 2019,482,
27. marrask. 2019,480,
28. marrask. 2019,482,
29. marrask. 2019,476,
30. marrask. 2019,483,
1. jouluk. 2019,465,
2. jouluk. 2019,484,
3. jouluk. 2019,474,
4. jouluk. 2019,468,Julkaisun käyttöönotto: 4.3 otettiin käyttöön käyttöasteella 100%.
5. jouluk. 2019,476,
6. jouluk. 2019,477,
7. jouluk. 2019,470,Julkaisun käyttöönotto: 4.4 otettiin käyttöön käyttöasteella 100%.
8. jouluk. 2019,471,Julkaisun käyttöönotto: 4.5 otettiin käyttöön käyttöasteella 100%. Julkaisun käyttöönotto: 4.6 otettiin käyttöön käyttöasteella 100%.
9. jouluk. 2019,468,
10. jouluk. 2019,465,
11. jouluk. 2019,469,Julkaisun käyttöönotto: 4.7 otettiin käyttöön käyttöasteella 100%.
12. jouluk. 2019,462,
13. jouluk. 2019,461,
14. jouluk. 2019,461,Julkaisun käyttöönotto: 4.8 otettiin käyttöön käyttöasteella 100%.
15. jouluk. 2019,460,
16. jouluk. 2019,464,
17. jouluk. 2019,455,Julkaisun käyttöönotto: 4.9 otettiin käyttöön käyttöasteella 100%.
18. jouluk. 2019,468,
19. jouluk. 2019,461,
20. jouluk. 2019,447,
21. jouluk. 2019,459,
22. jouluk. 2019,448,
23. jouluk. 2019,453,
24. jouluk. 2019,465,
25. jouluk. 2019,458,
26. jouluk. 2019,453,
27. jouluk. 2019,450,
28. jouluk. 2019,448,
29. jouluk. 2019,448,
30. jouluk. 2019,442,Julkaisun käyttöönotto: 5.0 otettiin käyttöön käyttöasteella 100%.
31. jouluk. 2019,451,
1. tammik. 2020,433,
2. tammik. 2020,435,
3. tammik. 2020,430,Julkaisun käyttöönotto: 5.2 otettiin käyttöön käyttöasteella 100%.
4. tammik. 2020,427,
5. tammik. 2020,432,
6. tammik. 2020,437,
7. tammik. 2020,434,
8. tammik. 2020,435,
9. tammik. 2020,443,
10. tammik. 2020,432,
11. tammik. 2020,436,
12. tammik. 2020,435,
13. tammik. 2020,432,
14. tammik. 2020,435,
15. tammik. 2020,424,
16. tammik. 2020,427,
17. tammik. 2020,433,Julkaisun käyttöönotto: 5.3 otettiin käyttöön käyttöasteella 100%.
18. tammik. 2020,428,
