Name,Spottimettä
Start Date,4/20/20
End Date,12/2/20

Date,Sessions,Active Devices
4/20/20,0.0,0.0
4/21/20,105.0,17.0
4/22/20,65.0,17.0
4/23/20,23.0,11.0
4/24/20,32.0,9.0
4/25/20,20.0,7.0
4/26/20,28.0,14.0
4/27/20,44.0,18.0
4/28/20,20.0,10.0
4/29/20,17.0,9.0
4/30/20,13.0,7.0
5/1/20,25.0,9.0
5/2/20,24.0,7.0
5/3/20,54.0,13.0
5/4/20,49.0,13.0
5/5/20,54.0,12.0
5/6/20,37.0,12.0
5/7/20,43.0,17.0
5/8/20,30.0,13.0
5/9/20,51.0,15.0
5/10/20,49.0,14.0
5/11/20,34.0,15.0
5/12/20,28.0,12.0
5/13/20,15.0,6.0
5/14/20,35.0,12.0
5/15/20,51.0,18.0
5/16/20,25.0,12.0
5/17/20,38.0,21.0
5/18/20,31.0,12.0
5/19/20,33.0,14.0
5/20/20,29.0,12.0
5/21/20,40.0,13.0
5/22/20,47.0,12.0
5/23/20,41.0,16.0
5/24/20,77.0,14.0
5/25/20,22.0,11.0
5/26/20,13.0,9.0
5/27/20,17.0,7.0
5/28/20,18.0,10.0
5/29/20,24.0,16.0
5/30/20,26.0,10.0
5/31/20,20.0,12.0
6/1/20,36.0,11.0
6/2/20,54.0,17.0
6/3/20,34.0,11.0
6/4/20,38.0,12.0
6/5/20,25.0,8.0
6/6/20,37.0,16.0
6/7/20,62.0,16.0
6/8/20,48.0,12.0
6/9/20,40.0,11.0
6/10/20,45.0,19.0
6/11/20,49.0,20.0
6/12/20,45.0,20.0
6/13/20,71.0,17.0
6/14/20,74.0,21.0
6/15/20,27.0,12.0
6/16/20,39.0,15.0
6/17/20,20.0,11.0
6/18/20,43.0,16.0
6/19/20,52.0,15.0
6/20/20,56.0,15.0
6/21/20,58.0,9.0
6/22/20,67.0,12.0
6/23/20,47.0,18.0
6/24/20,70.0,19.0
6/25/20,61.0,18.0
6/26/20,36.0,15.0
6/27/20,23.0,13.0
6/28/20,39.0,11.0
6/29/20,30.0,15.0
6/30/20,40.0,15.0
7/1/20,30.0,16.0
7/2/20,54.0,21.0
7/3/20,64.0,26.0
7/4/20,27.0,11.0
7/5/20,80.0,20.0
7/6/20,79.0,19.0
7/7/20,67.0,15.0
7/8/20,88.0,16.0
7/9/20,160.0,25.0
7/10/20,84.0,19.0
7/11/20,61.0,19.0
7/12/20,66.0,20.0
7/13/20,98.0,21.0
7/14/20,98.0,21.0
7/15/20,59.0,18.0
7/16/20,65.0,22.0
7/17/20,59.0,16.0
7/18/20,63.0,19.0
7/19/20,43.0,20.0
7/20/20,80.0,23.0
7/21/20,53.0,16.0
7/22/20,43.0,18.0
7/23/20,61.0,22.0
7/24/20,43.0,17.0
7/25/20,60.0,23.0
7/26/20,83.0,22.0
7/27/20,65.0,26.0
7/28/20,51.0,17.0
7/29/20,28.0,17.0
7/30/20,58.0,15.0
7/31/20,57.0,17.0
8/1/20,37.0,16.0
8/2/20,29.0,15.0
8/3/20,50.0,10.0
8/4/20,88.0,14.0
8/5/20,75.0,24.0
8/6/20,60.0,19.0
8/7/20,101.0,21.0
8/8/20,52.0,25.0
8/9/20,72.0,18.0
8/10/20,61.0,19.0
8/11/20,50.0,19.0
8/12/20,40.0,18.0
8/13/20,43.0,16.0
8/14/20,31.0,12.0
8/15/20,37.0,15.0
8/16/20,27.0,14.0
8/17/20,20.0,10.0
8/18/20,28.0,11.0
8/19/20,30.0,14.0
8/20/20,27.0,13.0
8/21/20,42.0,16.0
8/22/20,15.0,7.0
8/23/20,78.0,19.0
8/24/20,33.0,13.0
8/25/20,21.0,11.0
8/26/20,16.0,9.0
8/27/20,32.0,12.0
8/28/20,15.0,9.0
8/29/20,38.0,15.0
8/30/20,38.0,14.0
8/31/20,19.0,7.0
9/1/20,35.0,13.0
9/2/20,63.0,22.0
9/3/20,24.0,10.0
9/4/20,30.0,14.0
9/5/20,14.0,10.0
9/6/20,33.0,15.0
9/7/20,54.0,20.0
9/8/20,26.0,12.0
9/9/20,46.0,11.0
9/10/20,39.0,16.0
9/11/20,27.0,9.0
9/12/20,24.0,8.0
9/13/20,44.0,17.0
9/14/20,53.0,19.0
9/15/20,18.0,9.0
9/16/20,12.0,7.0
9/17/20,19.0,5.0
9/18/20,32.0,12.0
9/19/20,27.0,15.0
9/20/20,34.0,18.0
9/21/20,19.0,14.0
9/22/20,15.0,10.0
9/23/20,25.0,9.0
9/24/20,66.0,13.0
9/25/20,29.0,11.0
9/26/20,30.0,10.0
